datasetName,NumberOfClasses,DPSN,BOSS,ST
ArrowHead,3,0.830306,0.744571,0.477714
BME,3,0.743583,0.861333,0.692
CBF,3,0.97225,0.959889,0.886333
Chinatown,2,0.833792,0.816812,0.717101
ECG200,2,0.865167,0.780,0.671
GunPoint,2,0.958542,0.880,0.587333
GunPointAgeSpan,2,0.905208,0.875316,0.837975
GunPointOldVersusYoung,2,0.876208,0.853016,0.72381
ItalyPowerDemand,2,0.849042,0.82964,0.779397
MoteStrain,2,0.829417,0.80615,0.797204
Plane,7,0.999345,0.995238,0.534286
SonyAIBORobotSurface1,2,0.559292,0.54193,0.588353
SonyAIBORobotSurface2,2,0.840958,0.83064,0.750157
SyntheticControl,6,0.839611,0.798,0.875333
ToeSegmentation1,2,0.964792,0.859649,0.799123
TwoLeadECG,2,0.950125,0.914311,0.748376
UMD,3,0.892167,0.909722,0.86875
Wine,2,0.663542,0.574074,0.500
